userId,sex_cd,age5_band,pfgn1,pfgn2,avg_wtch_cnt,avg_fwtch_cnt,avg_buy_cnt,avg_buy_amt,price_band
2415979138,MALE,10.0,극장판 애니,코미디,4.0,1.0,3.0,6884.0,2950.0
2416115832,0,0.0,드라마,0,1.0,0.0,1.0,4834.0,4833.0
2416748970,FEMALE,8.0,SF/판타지,액션,2.0,0.0,2.0,4467.0,3350.0
2416800062,MALE,12.0,성인,액션,10.0,4.0,3.0,5834.0,2500.0
2416992294,FEMALE,9.0,액션,드라마,4.0,3.0,2.0,4967.0,3725.0
2417248206,0,0.0,드라마,극장판 애니,3.0,1.0,1.0,4467.0,4467.0
2417644391,MALE,12.0,드라마,코미디,9.0,3.0,1.0,4000.0,4000.0
241792675,MALE,10.0,액션,SF/판타지,4.0,0.0,4.0,7334.0,2000.0
2418444192,FEMALE,9.0,코미디,드라마,2.0,0.0,1.0,6334.0,6333.0
2419811572,0,0.0,드라마,0,2.0,1.0,1.0,4634.0,4633.0
2419815016,FEMALE,7.0,액션,스릴러,3.0,1.0,1.0,4834.0,4833.0
2420388009,MALE,9.0,액션,코미디,3.0,1.0,1.0,6334.0,6333.0
2420561133,0,0.0,성인,드라마,3.0,0.0,3.0,7000.0,3000.0
2420656583,FEMALE,6.0,액션,0,1.0,0.0,1.0,5834.0,5833.0
2421358502,FEMALE,13.0,드라마,로맨스,8.0,5.0,2.0,4734.0,3550.0
2422016493,MALE,6.0,드라마,액션,2.0,0.0,1.0,6134.0,6133.0
2422200514,FEMALE,10.0,SF/판타지,액션,5.0,2.0,2.0,4500.0,3375.0
2422600132,FEMALE,8.0,드라마,극장판 애니,3.0,1.0,2.0,7000.0,4200.0
2423122713,MALE,9.0,액션,SF/판타지,3.0,0.0,1.0,5834.0,5833.0
2423368178,MALE,11.0,드라마,극장판 애니,7.0,3.0,3.0,5867.0,1956.0
2423776457,MALE,11.0,드라마,액션,12.0,9.0,2.0,5000.0,3750.0
2423985094,MALE,10.0,드라마,액션,4.0,2.0,2.0,4734.0,3550.0
2424009022,FEMALE,10.0,액션,스릴러,11.0,9.0,2.0,6134.0,3680.0
2424174616,MALE,9.0,성인,로맨스,4.0,1.0,3.0,6767.0,2256.0
2424491094,MALE,11.0,드라마,액션,2.0,1.0,1.0,5834.0,5833.0
