COMPANY,AGE,SEX,LOC,FMIL_SGMT,MAU,구매력,2ND단말기보유점수,구매력점수,블로그활동점수,이사관심점수,공기질민감점수,도서잡지관심점수,인테리어관심점수,렌탈관심점수,홈케어서비스관심점수,계절가전제품관심점수,생활가전제품관심점수,주방용품가전제품관심점수,디지털전자제품관심점수
carrier,20,FEMALE,서울,중년_자녀동거,4,10,8.4,10,9.1,4.8,8,,7.9,10,8.3,27.8,32.4,7.6,12.7
carrier,20,FEMALE,세종,,2,10,6.4,10,9.7,0.8,,,,,,20.4,9.3,9,7.9
carrier,20,FEMALE,울산,,1,,,,,,,,,,,,,,
carrier,20,FEMALE,인천,1인가구,2,,7.5,,6.1,0.8,,,7.3,,,35.1,35.4,8.8,16.3
carrier,20,FEMALE,인천,키즈맘_미취학,5,10,8.2,10,6.6,5.8,8,,5.9,8,,19.5,17.4,4.6,10
carrier,20,FEMALE,인천,2인가구,1,,,,8,0.8,,,3.2,,,9.5,7.4,2.6,7.5
carrier,20,FEMALE,인천,중년_자녀동거,3,0.1,7,0.1,7.8,5.1,,,8.5,,,23.7,21.4,6,12.1
carrier,20,FEMALE,인천,,25,3.9,7.4,3.9,5.9,5.3,,,9.1,,,26.9,27.5,6.3,13.4
carrier,20,FEMALE,전남,중년_자녀동거,2,2.8,7.9,2.8,7,8.3,,,9.9,,,15.9,14.4,5,8.7
carrier,20,FEMALE,전남,키즈맘_미취학,1,10,7.7,10,9.8,2.1,,9.5,1.8,,,37.4,36.9,9.5,18.5
carrier,20,FEMALE,전남,,9,10,7.7,10,6.9,9.5,,,1.9,0.3,,26.4,22.8,7.4,13.7
carrier,20,FEMALE,전북,,17,10,6.3,10,3,6.8,,,9.4,,,28.6,20.2,9.1,11.8
carrier,20,FEMALE,전북,1인가구,1,0,6.4,0,0,8.8,,,8.7,,,16.3,15.7,2.1,11.8
carrier,20,FEMALE,전북,중년_자녀동거,4,,6.8,,8.2,3.1,,,8.5,9.9,,11.2,9.2,3,7.2
carrier,20,FEMALE,제주,,6,10,6.3,10,8.5,6.4,,,9.3,8,,20.3,13.4,7.7,8.8
carrier,20,FEMALE,충남,,18,10,6.3,10,4.2,5.7,8,,8.2,8.3,,19.5,20.1,3.6,13.1
carrier,20,FEMALE,충남,중년_자녀동거,2,,,,5.8,3,,,8.2,,,23.1,22.1,4.9,9.8
carrier,20,FEMALE,충남,1인가구,1,,7.7,,8,1.8,,,,,,14.1,8.4,3.1,10.5
carrier,20,FEMALE,충남,키즈맘_미취학,1,6.8,6.3,6.8,9.2,6.2,,,3,,,19.2,19,6.2,12.6
carrier,20,FEMALE,충북,1인가구,1,,6.4,,9.2,0.8,,,,,,19.6,14.6,6.6,9.5
carrier,20,FEMALE,충북,중년_자녀동거,3,,6.4,,6.5,5.5,8,,10,,,27,23.3,7.4,11.9
carrier,20,FEMALE,충북,키즈맘_초등생,1,10,7.9,10,9.4,9.8,,,9.9,,,35.9,33.8,8.6,17.9
carrier,20,FEMALE,충북,,17,10,7.1,10,8.6,8.8,,,8.1,9.9,,28.8,26.5,7.9,13.4
carrier,20,MALE,,키즈맘_미취학,4,6.7,7.3,6.7,4.8,4.8,,,,,,31.5,31.9,8.1,15.7
carrier,20,MALE,,키즈맘_중학생,1,,7.5,,5.9,0.7,,,,,,29,33.7,8.2,13.2
carrier,20,MALE,,1인가구,25,8,7.3,8,7.2,5.4,,0,6.1,2.8,7.8,25.3,27.2,5.4,12.8
carrier,20,MALE,,중년_자녀동거,28,6.3,7.4,6.3,7.7,4.9,6.4,0.3,4.8,4.2,,27.4,29.1,6.5,12.6
carrier,20,MALE,,2인가구,4,6.7,7,6.7,6.8,5.5,,,6,8,,24.4,31.1,5.2,15
carrier,20,MALE,,키즈맘_초등생,1,0,,0,,1.1,,,7.7,,,35.7,36.1,8.9,16.5
carrier,20,MALE,,,223,8,7.4,8,7.5,4.9,,1.4,5.5,5.5,8.3,27.9,28.5,6.7,13.5
carrier,20,MALE,강원,,12,10,7.9,10,6,3.4,,,0.3,,,29.2,30,7.6,12.9
carrier,20,MALE,강원,중년_자녀동거,3,,7.6,,6.9,0.8,,,2.5,,,29.1,32.9,6.1,14.6
carrier,20,MALE,강원,키즈맘_미취학,1,,,,6.5,10,,,10,10,,27.5,36.6,9.2,11.8
carrier,20,MALE,경기,중년_자녀동거,24,9.6,7.4,9.6,6.4,4.1,7.7,3.7,4.6,,7.7,25.8,29.1,5.9,12.5
carrier,20,MALE,경기,,128,7,7.5,7,7.8,5,9,0,4.6,0.1,8.4,28.4,26.8,7.6,13.3
carrier,20,MALE,경기,키즈맘_중학생,1,,7.8,,8.5,8.2,,10,1.2,,,19.9,34.4,7.9,11.8
carrier,20,MALE,경기,1인가구,15,6.7,7.3,6.7,6.9,5.2,,,6.2,,7.5,24,26.9,5.4,11.7
carrier,20,MALE,경기,키즈맘_미취학,7,10,7.5,10,7,5.6,,,5.4,,,28.9,31.9,6.8,13.9
carrier,20,MALE,경기,키즈맘_초등생,1,10,7.6,10,7.9,0.8,6.4,,7.2,,,36.6,38,8.4,10.8
carrier,20,MALE,경기,2인가구,2,,7.7,,,6.1,,,8.1,,,26.9,24.1,6.3,13.3
carrier,20,MALE,경남,중년_자녀동거,4,5,7.6,5,7,3.3,,,9.9,8.8,,29.2,29.6,7.9,14.7
carrier,20,MALE,경남,1인가구,1,,6.4,,0,9.4,,9,8.6,,,12.2,12.7,2.1,10.4
carrier,20,MALE,경남,,22,10,6.8,10,6.5,1.8,1.9,,,8.1,,28,31.6,7.2,12.8
carrier,20,MALE,경북,키즈맘_미취학,1,10,,10,9.6,0.7,,,3.1,,,34.3,35.9,7.7,15.9
carrier,20,MALE,경북,1인가구,2,5,6.4,5,3.8,9.4,,,9.8,0.6,,24.9,26.1,5,14.3
carrier,20,MALE,경북,중년_자녀동거,5,10,7.8,10,7.7,6.7,,,8.7,,,25.2,27.8,6.3,11.3
carrier,20,MALE,경북,,18,,,,4.6,4,,,5.2,,,26.9,27.9,6.2,14
carrier,20,MALE,광주,중년_자녀동거,9,5,7.7,5,6.5,2.9,6.4,,5.5,,,23,27.2,4.5,13.3
carrier,20,MALE,광주,1인가구,1,,,,,9.7,,,4.5,,,25.2,34.9,9,11.7
carrier,20,MALE,광주,2인가구,1,,7.5,,7.8,9.8,,,9,3.6,,36.6,31.5,8.4,12.6
carrier,20,MALE,광주,,18,10,,10,8.7,8.4,,,8.2,,,36.8,37,9.3,17.6
carrier,20,MALE,대구,,7,,7.4,,8.8,0.7,,,,,,34.8,35.8,9.3,16.8
carrier,20,MALE,대구,1인가구,1,10,7.4,10,9.7,8.2,,,0.7,,,32.4,34.3,8.4,13.1
carrier,20,MALE,대구,키즈맘_중학생,1,,7.5,,0.8,1.5,,,3.2,,,35.6,31.7,8.8,11.7
carrier,20,MALE,대전,중년_자녀동거,3,10,7.5,10,8.6,6,,9.4,8.9,9.9,,17.1,16.3,2.3,10.3
carrier,20,MALE,대전,1인가구,6,3.8,7.7,3.8,6.9,4.8,,,5,,,25.4,25.6,6,12.1
carrier,20,MALE,대전,,19,,8,,7.6,5.2,,,9.9,,,27.2,22.6,8.4,9.9
carrier,20,MALE,대전,키즈맘_미취학,1,0,,0,8,0.4,,,,,,21.1,9.9,7.6,9.1
carrier,20,MALE,대전,2인가구,1,,,,7.9,8.3,,,8.1,,,28.7,26.9,7.1,11.8
carrier,20,MALE,부산,1인가구,2,10,7.4,10,8,5.4,,,7,,,26.3,26.7,6.5,12.4
carrier,20,MALE,부산,중년_자녀동거,5,10,7.4,10,8.4,4.1,,0.1,4.4,,,26.4,29.7,6.1,14.3
carrier,20,MALE,부산,,27,8.4,7.5,8.4,8,7.9,,0.1,8.1,0.5,,33.5,34.3,8.4,16.6
carrier,20,MALE,서울,중년_자녀동거,12,5.3,7,5.3,5.6,5,,,6.5,,,21.7,24.8,4.5,11.5
carrier,20,MALE,서울,2인가구,2,10,7.9,10,7.9,5.2,,,7.5,,,23.2,29.8,3.7,14
carrier,20,MALE,서울,키즈맘_중학생,1,,6.4,,9.7,2.3,,,0.6,,,19.2,28.1,2.9,11.1
carrier,20,MALE,서울,1인가구,11,10,7.3,10,7.3,6.1,,0,2.9,,7.7,26,25.1,5.9,12.4
carrier,20,MALE,서울,,77,10,7.4,10,7.7,6.4,4.6,3.2,4.8,,,27.7,27.7,6.9,13.5
carrier,20,MALE,서울,키즈맘_미취학,3,0.2,7.9,0.2,8.5,5.6,,,1.8,8.2,,24.2,21.7,5.6,12
carrier,20,MALE,세종,,1,,,,,,,,,,,,,,
carrier,20,MALE,세종,중년_자녀동거,1,,,,0,9.4,,,9.7,,,24.2,25.1,3.8,11
carrier,20,MALE,울산,,12,6.7,7.2,6.7,4.9,6.8,,,4.7,4,,25.8,25.3,6.6,12.5
carrier,20,MALE,울산,키즈맘_미취학,1,,7.4,,9.2,7.4,,,2.3,,,36.8,37.6,9.1,17
carrier,20,MALE,인천,,35,,8.7,,7,4.5,,,4.8,,,37.7,37.4,9,17.2
carrier,20,MALE,인천,키즈맘_미취학,3,10,7.6,10,5.6,6.2,,,7.4,,,24.4,24,5.9,12.4
carrier,20,MALE,인천,키즈맘_중학생,1,,7.4,,,3.6,,,3.5,,7.7,29.8,36.5,8.8,11.7
carrier,20,MALE,인천,중년_자녀동거,7,10,7.3,10,8.1,4.9,,,5.3,,8.2,27.2,26.4,6.2,13
carrier,20,MALE,인천,1인가구,2,,6.4,,2.7,5.3,,,9.9,,,23.2,24.1,4.7,13
carrier,20,MALE,전남,,14,,7.4,,8.4,4.2,,,2.8,,,29.8,24.2,9.2,13.2
carrier,20,MALE,전남,1인가구,1,10,6.4,10,0,9.6,,,9.9,,,11.3,13.3,1.9,9.4
carrier,20,MALE,전남,중년_자녀동거,2,10,7.5,10,9.2,3.6,,,,,,18.8,19.5,5,9
carrier,20,MALE,전북,2인가구,1,,7.9,,,8.2,,,2.4,,,35.4,38.5,9.4,17
carrier,20,MALE,전북,키즈맘_미취학,1,,6.4,,,5.8,,,1.5,,,14.9,13.6,3,8.9
carrier,20,MALE,전북,1인가구,1,,8.5,,9.8,1.3,,0,0.3,,,32.2,32.6,8.1,14.1
carrier,20,MALE,전북,,18,10,,10,9.3,9.2,,,5.9,,,33,35.7,9.1,15.6
carrier,20,MALE,제주,키즈맘_미취학,1,,6.4,,9.4,9.5,,,9.7,,,10.9,16.2,0.7,6.6
