base_company,AGE,SEX,other_company,overlap_users,total_users,overlap_ratio_percent
lge,40,MALE,modevi,3,25814,0.0
lge,40,MALE,cooing,2,25814,0.0
lge,50,FEMALE,cuckoo,5337,38029,14.0
lge,50,FEMALE,himart,2017,38029,5.3
lge,50,FEMALE,xaomi,121,38029,0.3
lge,50,FEMALE,carrier,59,38029,0.2
lge,50,FEMALE,samsunge,20,38029,0.1
lge,50,FEMALE,modevi,2,38029,0.0
lge,50,FEMALE,cooing,2,38029,0.0
lge,50,FEMALE,haier,1,38029,0.0
lge,50,MALE,cuckoo,4856,31090,15.6
lge,50,MALE,himart,2842,31090,9.1
lge,50,MALE,xaomi,371,31090,1.2
lge,50,MALE,carrier,109,31090,0.4
lge,50,MALE,cooing,7,31090,0.0
lge,50,MALE,haier,7,31090,0.0
lge,50,MALE,samsunge,13,31090,0.0
lge,60,FEMALE,cuckoo,4712,31357,15.0
lge,60,FEMALE,himart,1065,31357,3.4
lge,60,FEMALE,xaomi,85,31357,0.3
lge,60,FEMALE,carrier,32,31357,0.1
lge,60,FEMALE,samsunge,8,31357,0.0
lge,60,FEMALE,haier,4,31357,0.0
lge,60,FEMALE,modevi,1,31357,0.0
lge,60,MALE,cuckoo,2425,19615,12.4
lge,60,MALE,himart,922,19615,4.7
lge,60,MALE,xaomi,100,19615,0.5
lge,60,MALE,carrier,28,19615,0.1
lge,60,MALE,samsunge,5,19615,0.0
lge,60,MALE,haier,1,19615,0.0
lge,60,MALE,cooing,1,19615,0.0
lge,70,FEMALE,cuckoo,1904,12116,15.7
lge,70,FEMALE,himart,262,12116,2.2
lge,70,FEMALE,xaomi,29,12116,0.2
lge,70,FEMALE,carrier,11,12116,0.1
lge,70,FEMALE,cooing,2,12116,0.0
lge,70,MALE,cuckoo,862,8293,10.4
lge,70,MALE,himart,188,8293,2.3
lge,70,MALE,xaomi,27,8293,0.3
lge,70,MALE,carrier,8,8293,0.1
modevi,20,FEMALE,cuckoo,2,7,28.6
modevi,20,FEMALE,carrier,1,7,14.3
modevi,20,FEMALE,lge,1,7,14.3
modevi,20,MALE,carrier,6,17,35.3
modevi,20,MALE,himart,5,17,29.4
modevi,20,MALE,cuckoo,2,17,11.8
modevi,20,MALE,cooing,1,17,5.9
modevi,20,MALE,lge,1,17,5.9
modevi,30,FEMALE,cuckoo,4,20,20.0
modevi,30,FEMALE,himart,2,20,10.0
modevi,30,FEMALE,lge,2,20,10.0
modevi,30,FEMALE,carrier,1,20,5.0
modevi,30,MALE,himart,11,34,32.4
modevi,30,MALE,carrier,7,34,20.6
modevi,30,MALE,cuckoo,4,34,11.8
