ton,dist,cost
25,299.1697246,70
18,77.30276057,23
11,36.87252393,15
11,124.634711,22
11,119.1012602,22
25,295.6208192,67
11,252.6560831,38
25,228.879943,57
25,215.9478373,48
25,256.4069288,48
25,227.4714909,52
25,118.1209972,31
25,220.9619216,56
18,249.5453646,46
25,265.8057885,44
18,81.46226607,22
25,219.7401814,48
11,22.41784748,11
14,341.2037166,56
25,146.2296403,44
11,116.5508789,20
25,64.58266724,28
25,57.98406311,26
25,64.90738241,26
25,224.3483259,50
18,81.59430093,27
14,62.72515849,20
18,75.24667086,26
25,63.72215185,20
11,282.0880168,40
25,80.85119512,32
25,88.39994315,30
11,301.6358273,45
11,74.25821645,18
18,182.2938473,33
11,211.6751183,33
11,60.32064142,16
5,150.4516221,20
11,21.58694884,20
11,132.5021795,30
11,245.8681629,40
8,109.0270282,21
5,125.6981249,18.5
11,34.50876289,13
11,61.09910068,15
18,41.28025488,20
25,43.50337312,25
25,20.32564567,26
25,54.6886485,24
25,111.5527249,38
14,48.59197136,20
11,173.7971628,26
11,84.59391498,24
11,251.3840009,30
5,251.3840009,30
25,102.2529492,33
18,8.649663483,16
25,262.9907156,60
11,110.8640724,26
25,85.33316613,26
25,175.3217413,38
16,214.8625812,42
25,273.8198693,58
25,290.1062666,61
18,154.5609202,65
25,260.3580532,50
18,29.72624442,17
18,309.0797147,43
11,229.8026315,32
11,268.9449989,39
11,71.14056915,16
11,71.14056915,16
11,70.39467119,21
14,208.5165114,35
11,169.3909416,22
18,178.0802111,40
11,42.27296986,17
25,286.0788833,63
25,113.0127189,32
18,60.50991323,28
11,54.5669751,12
11,95.8209035,20
18,208.5165114,35
25,255.9659291,46
11,171.3480241,35
11,13.75299961,9
14,88.55439718,20
18,35.64517566,16
18,82.67549759,30
18,78.46757011,24
5,82.63146022,13
5,75.3346798,14
5,80.98078843,14
25,264.6543785,50
25,248.4081652,51
25,269.9069023,55
25,103.7946426,34
11,70.7010827,26
11,119.5465607,23
11,202.5596114,28
11,266.7739089,18
11,233.4328001,32
11,206.5866289,33
25,267.7203746,48
14,253.6355658,34
25,175.5304846,32
11,48.02997601,13
25,121.324378,38
16,9.034741251,19
11,68.43473595,20
25,165.3876281,1.5
25,256.9292113,50
16,9.034741251,10
25,71.51506241,30
25,89.7369129,28
25,184.5989481,44
14,63.27977025,21
11,81.28231423,21
25,186.645635,50
18,79.46617073,23
25,89.7369129,28
25,89.7369129,28
11,237.1795266,42
11,105.6191433,21
25,76.89723862,23
14,171.1186115,35
5,291.6502539,38
25,101.6266897,36
11,68.01375406,18
18,100.9080401,23
22,114.1143828,30
5,222.1313953,22
5,185.9790082,28
4,100.9419388,10
5,222.1313953,18
5,43.93887851,12
25,37.86399429,12
5,66.35622651,11
5,29.93190153,9.5
1,8.569590556,2.5
5,202.4402489,18
5,202.4402489,18
5,117.0017342,10
5,117.0017342,10
5,17.25054384,11
11,261.99671,30
25,18.95008116,18
25,102.0753334,28
11,173.2358215,24
11,53.47380692,22
5,81.0070082,14
25,164.3412259,30
25,321.3428171,65
11,189.2668728,28
11,85.52327403,20
5,104.427722,20
25,260.3580532,62
25,175.9474917,50
5,190.3219503,27
11,117.7144242,28
11,251.8826322,30
11,75.58999313,17
18,62.45859602,22
11,190.3219503,28
1,247.8351226,16
25,23.25121711,20
11,164.6438986,33
11,291.6502539,37
5,192.6643786,27
25,36.50160992,19
14,6.576437096,12
11,223.7770523,36
18,77.30276057,23
5,181.6275511,24
18,249.960522,36
18,193.5286247,45
