SITE_NM,COMPANY,CNT,USER_CNT,CNT_P_USER,USER_RATIO
카카오 뱅크,ebrams,8846,148,59.77027,0.468354
신한은행,ebrams,8221,135,60.8963,0.427215
삼성카드,ebrams,11816,132,89.51515,0.417722
카카오페이증권,ebrams,5304,100,53.04,0.316456
Apple,ebrams,10704,96,111.5,0.303797
Syrup,ebrams,7734,85,90.98824,0.268987
하나멤버스,ebrams,5256,84,62.57143,0.265823
AD(X),ebrams,4133,82,50.40244,0.259494
OK캐쉬백,ebrams,8952,76,117.7895,0.240506
업비트,ebrams,6156,64,96.1875,0.202532
