movieId,rating,title,genres,create_yr,director,actor1,wtch_cnt,sales_amt_3m,price
1011201076,0.10668823557919499,포인트 브레이크(Point Break),영화|액션|NaN,2021,에릭슨 코어, 루크 브레이시,93,57500.0,2500
101122848,0.09036297061408939,룸싸롱 여대생들 3,영화|성인|캐치온,2020,이민우, 지아,129,0.0,0
1011251502,0.10976895821723893,며느리 삼고 싶은 30대 왕젖,영화|성인|일본,2021,쪼형,"사야카, 히카리",995,135000.0,2500
1011305949,0.11507506582657148,마리나와 뜨거운 온천에서,영화|성인|일본,2021,시마,아사쿠라 마리나,90,47500.0,2500
1011313487,0.1028281235202633,아웃포스트,영화|액션|NaN,2020,로드 루리, 올랜도 블룸,3875,4697500.0,2500
1012286205,0.10304625470684232,이 멋진 세계에 축복을! 붉은 전설,영화|극장판 애니|NaN,2020,카나사키 타카오미, 후쿠시마 준,495,142500.0,2500
1012424270,0.11040399825089413,캣츠앤독스 2_재등록,영화|코미디|NaN,2015,브래드 페이튼,0,21,30000.0,900
1012823228,0.10305408215500717,원스(Once),영화|드라마|NaN,2017,존 카니, 글렌 한사드,691,320000.0,2500
1012975512,0.07335762900993197,카고: 아버지와 바다,영화|드라마|NaN,2018,질 콜리어, 샘 루윅,7,2800.0,1400
1013043416,0.15910896148844594,어린 그녀,영화|성인|한국,2020,정태준, 설아,41,4500.0,4500
1013102487,0.10289300869270299,모노폴리_KRCG-1,영화|스릴러|NaN,2020,0, 양동근,9,17500.0,2500
1013247156,0.0741667581472951,지하실,영화|스릴러|NaN,2017,조셉 와트너체니, 롭 자브레키,14,1400.0,1400
1013378679,0.10932716513987423,시읽는 시간,영화|다큐|NaN,2020,이수정, 오하나,34,90000.0,3500
1013903143,0.09528700993636133,클로버필드 10번지(10 Cloverfield Lane),영화|공포|NaN,2016,댄 트라첸버그, 메리 엘리자베스 윈스티드,367,212500.0,2500
1013946912,0.08845463996974631,게이샤의 추억,영화|액션|NaN,2020,롭 마샬, 장쯔이,166,135800.0,1400
1013988299,0.10189977891806963,인사이드 아웃,영화|극장판 애니|어린이/가족,2017,피트 닥터, 에이미 포엘러,1468,2160000.0,2500
1014333669,0.03404644018743056,바울,영화|드라마|NaN,2021,앤드류 하얏트, 제임스 폴크너,114,0.0,0
1014589722,0.07234254322201873,아인,영화|액션|NaN,2018,모토히로 카츠유키, 사토 타케루,106,37800.0,1400
1014856351,0.10548661508677773,체스의 여왕,영화|드라마|NaN,2017,미라 네어, 데이빗 오예로워,7,10000.0,2500
1014953038,0.081284969657896,언더 더 트리,영화|코미디|NaN,2018,하프슈타인 군나르 지그라쏜, 스테인소르 흐로아르 스테인소르손,5,0.0,1400
1014957865,0.08853018570568609,극장판 도라에몽: 진구의 보물섬,영화|극장판 애니|코미디,2018,이마이 카즈아키, 윤아영,830,452200.0,1400
1015090778,0.11012322204442962,어거스트 러쉬,영화|드라마|NaN,2020,커스틴 쉐리단, 프레디 하이모어,712,602500.0,2500
1015182046,0.059671808366295404,우리들의 일기,영화|액션|독립,2017,임공삼, 윤성모,71,33600.0,1400
1015234841,0.13259546469046138,프리즈너,영화|액션|NaN,2020,양길영, 오지호,8,12000.0,4000
1015260949,0.09321936028985651,소림사: 고수의 길,영화|액션|NaN,2018,도효, 이병연,42,9800.0,1400
1015298422,0.10631474430109474,시간이 멈추자 머리끄댕이 잡아채고 막막,영화|성인|일본,2021,한번더OK,"나나코 타카미야, 히로키 사토",760,127500.0,2500
1015681748,0.09548595872826197,리우 2096(Rio 2096: A story of Love and Fury),영화|극장판 애니|NaN,2016,루이즈 볼로네지, 셀튼 멜로,33,8400.0,1400
101624014,0.11194340896050618,손스킬로 유부녀 꼬신 흑형 마사지사,영화|성인|해외,2021,제이크,"켄지 타일러, 알리야 러브",1171,722500.0,2500
