site_nm,company,cnt,user_cnt,cnt_p_user,user_ratio
웨더뉴스,haier,53419,655,81.56,0.72
Netflix,haier,120101,649,185.06,0.71
토스페이먼츠,haier,9963,645,15.45,0.71
taobao,haier,27880,638,43.7,0.7
SmartThings,haier,38393,632,60.75,0.69
Alibaba,haier,26736,622,42.98,0.68
Samsung Cloud,haier,37189,618,60.18,0.68
다음 카페,haier,9382,598,15.69,0.65
T map,haier,70390,597,117.91,0.65
스카이프,haier,21506,591,36.39,0.65
밴드,haier,58014,587,98.83,0.64
라온시큐어,haier,10026,584,17.17,0.64
카카오 뱅크,haier,56969,584,97.55,0.64
KB스타뱅킹,haier,46238,579,79.86,0.63
네이버 스포츠,haier,30313,574,52.81,0.63
KB Pay,haier,15763,569,27.7,0.62
삼성페이,haier,66494,568,117.07,0.62
PostHog,haier,9607,566,16.97,0.62
Adrop,haier,8602,563,15.28,0.62
채티,haier,10806,563,19.19,0.62
OneSignal,haier,14039,562,24.98,0.62
GIPHY,haier,21201,552,38.41,0.6
adPOPcorn,haier,10043,551,18.23,0.6
McAfee,haier,62377,545,114.45,0.6
DuckDuckGo,haier,15902,544,29.23,0.6
토스증권,haier,44817,544,82.38,0.6
브이리뷰,haier,10759,539,19.96,0.59
SSG.COM,haier,17489,538,32.51,0.59
신한페이판,haier,26715,524,50.98,0.57
LGU+ TSM,haier,9031,523,17.27,0.57
샵라이브,haier,9179,523,17.55,0.57
옥션,haier,18375,511,35.96,0.56
카카오T,haier,7860,503,15.63,0.55
번개장터,haier,12682,500,25.36,0.55
네이버 TV연예,haier,10075,491,20.52,0.54
Apple,haier,361360,490,737.47,0.54
다음 뉴스,haier,7712,489,15.77,0.54
캐시워크,haier,37497,483,77.63,0.53
디시트렌드,haier,13326,476,28.0,0.52
RevenueCat,haier,8193,475,17.25,0.52
요기요,haier,21661,470,46.09,0.51
토스뱅크,haier,22145,467,47.42,0.51
ChatGPT,haier,9509,464,20.49,0.51
OpenAI,haier,9985,457,21.85,0.5
신한카드,haier,20600,452,45.58,0.5
SendBird,haier,12598,447,28.18,0.49
KB국민카드,haier,20916,444,47.11,0.49
신한은행,haier,45724,444,102.98,0.49
윈도우라이브,haier,11462,438,26.17,0.48
삼쩜삼,haier,12903,435,29.66,0.48
오늘의집,haier,27636,432,63.97,0.47
Avatye,haier,13384,432,30.98,0.47
Forter,haier,8394,431,19.48,0.47
올리브영,haier,16539,425,38.92,0.47
QQ,haier,72340,422,171.42,0.46
삼성카드,haier,38364,417,92.0,0.46
신한 쏠,haier,9888,409,24.18,0.45
Microsoft Office,haier,25639,404,63.46,0.44
카카오페이증권,haier,27007,400,67.52,0.44
ISP/페이북,haier,22703,397,57.19,0.43
알약,haier,7041,397,17.74,0.43
alipay,haier,16831,395,42.61,0.43
무신사,haier,28157,395,71.28,0.43
쿠팡플레이,haier,8246,393,20.98,0.43
모비위드,haier,12609,391,32.25,0.43
롯데ON,haier,7812,388,20.13,0.42
MSN,haier,11351,378,30.03,0.41
삼성 헬스,haier,52531,374,140.46,0.41
현대카드,haier,29922,373,80.22,0.41
네이트,haier,5943,368,16.15,0.4
네이버+ 스토어,haier,5781,368,15.71,0.4
CJ ONSTYLE,haier,6296,367,17.16,0.4
하나카드,haier,22601,367,61.58,0.4
에펨코리아,haier,14283,365,39.13,0.4
야놀자,haier,8247,365,22.59,0.4
GS SHOP,haier,6645,364,18.26,0.4
네이트 뉴스,haier,10718,359,29.86,0.39
네이버 웹툰,haier,24848,357,69.6,0.39
MS Copilot,haier,7409,355,20.87,0.39
iTunes-Apple,haier,222778,354,629.32,0.39
NH농협,haier,12880,353,36.49,0.39
NH카드,haier,10156,344,29.52,0.38
ExelBid,haier,11334,339,33.43,0.37
티머니,haier,16822,337,49.92,0.37
iCloud,haier,106770,334,319.67,0.37
Qualcomm,haier,19176,333,57.59,0.36
연합뉴스,haier,11607,331,35.07,0.36
NESTADS,haier,5815,324,17.95,0.35
티머니GO,haier,5925,313,18.93,0.34
Starbucks Coffee Korea,haier,18021,313,57.58,0.34
우리은행,haier,34689,313,110.83,0.34
사람인,haier,8601,309,27.83,0.34
올원뱅크,haier,11031,307,35.93,0.34
잡코리아,haier,5268,303,17.39,0.33
SBS,haier,6479,301,21.52,0.33
stripchat,haier,5937,301,19.72,0.33
Adobe,haier,7609,297,25.62,0.33
AD(X),haier,26055,295,88.32,0.32
BC카드,haier,9093,294,30.93,0.32
U+Page,haier,5926,290,20.43,0.32
카카오모빌리티,haier,4779,286,16.71,0.31
TVING,haier,26057,285,91.43,0.31
디즈니플러스,haier,5920,284,20.85,0.31
케이뱅크,haier,17043,281,60.65,0.31
Apple 건강,haier,4379,281,15.58,0.31
KEB하나은행,haier,7174,277,25.9,0.3
하나은행,haier,9391,277,33.9,0.3
Nike,haier,8859,277,31.98,0.3
아고다,haier,8333,276,30.19,0.3
롯데홈쇼핑,haier,4055,270,15.02,0.3
업비트,haier,52854,270,195.76,0.3
Digital Turbine,haier,4690,268,17.5,0.29
현대자동차,haier,6985,266,26.26,0.29
마켓컬리,haier,11451,265,43.21,0.29
Telegram Messenger,haier,7609,265,28.71,0.29
Spotify,haier,10661,262,40.69,0.29
하이마트,haier,4160,260,16.0,0.28
숨고,haier,5755,253,22.75,0.28
경향신문,haier,4375,253,17.29,0.28
Apple Weather,haier,4309,251,17.17,0.27
멜론 아지톡,haier,11548,249,46.38,0.27
롯데카드,haier,19422,245,79.27,0.27
모니모,haier,5283,245,21.56,0.27
에이블리,haier,6178,243,25.42,0.27
삼성증권 POP,haier,3975,241,16.49,0.26
ZigZag,haier,11781,225,52.36,0.25
29cm,haier,7047,222,31.74,0.24
스노우,haier,7394,222,33.31,0.24
SBS 뉴스,haier,3603,222,16.23,0.24
